name,location,ratings,review,Number of   ,Room    Score,Room Type,Bed Type,price
Grande Centre Point Hotel Terminal21,"Wattana, Bangkok",8.6,Excellent,"1,007",9,Grand Suite Double Room,1 queen bed,"   630,228"
The Passage Samui Pool Villas with Private Beach,Ban Bang Po,7.9,Good,108,8.4,Villa with Garden View,Multiple bed types,"   237,997"
Sriwilai Sukhothai,"Mueang Kao, Sukhothai",8.7,Excellent,239,9.1,Superior Double Room,1 full bed,"   189,233"
See Through Resort Haad Yao,Haad Yao,7.9,Good,187,,Deluxe Double or Twin Room with Pool View,   1 double or 2 twins,"   207,800"
Thosawan Resort ?????? ???????,Khong Chiam,8.4,Very Good,64,8.6,Deluxe Room,1 king bed,"   47,227"
Siam Bay Resort,"Kai Bae Beach, Ko Chang",8.2,Very Good,532,8.1,Villa with Sea View,1 queen bed,"   217,999"
Dheva Mantra Resort - SHA,Kanchanaburi City,7.9,Good,602,8.2,Deluxe Double or Twin Room with River View,   1 double or 2 twins,"   250,367"
Alina Grande Hotel & Resort,"White Sand Beach, Ko Chang",8,Very Good,209,8.1,Deluxe Queen Room with Two Queen Beds,2 full beds,"   55,896"
U Nimman Chiang Mai,"Nimmanhaemin, Chiang Mai",8.9,Excellent,510,9.3,Premium Deluxe (24 Hours Use of Room),Multiple bed types,"   253,806"
Natee The Riverfront Hotel Kanchanaburi,Kanchanaburi City,8.4,Very Good,513,8.8,Deluxe Double or Twin Room with River View,1 full bed,"   367,375"
The View Chiang Dao Hotel,Chiang Dao,9.8,Exceptional,5,10,Standard King Room,1 king bed,"   45,998"
Moon River Resort Phimai,Phimai,8.2,Very Good,106,8.2,Bungalow - Water Front,1 queen bed,"   44,640"
Lanta Fa Rung Beach Resort,"Klong Khong Beach, Ko Lanta",9.2,Wonderful,364,9.2,Bungalow with Fan,1 king bed,"   38,170"
dusitD2 Hua Hin - SHA Extra Plus,Hua Hin,8.8,Excellent,553,9.3,Deluxe Hillside King Room,1 king bed,"   169,610"
Sabai Sabai Sukhothai - SHA PLUS,Ban Khlong Krachong,8.2,Very Good,41,8.7,Superior Double or Twin Room,1 full bed,"   122,920"
Rustic River Boutique,"Chang Moi, Chiang Mai",8.7,Excellent,155,9.1,Superior Twin Room,2 twin beds,"   50,801"
Impress Resort,Thalang,8.4,Very Good,73,8.8,Deluxe Double or Twin Room,"3 beds (2 twins, 1 queen)","   106,839"
At Pingnakorn Hotel,"Nimmanhaemin, Chiang Mai",8.9,Excellent,226,9.3,Deluxe Double Room,1 king bed,"   131,240"
The Village Coconut Island Beach Resort - SHA Extra Plus,Phuket,8,Very Good,"1,481",8.4,Deluxe Twin Suite,2 twin beds,"   343,789"
Arden Hotel and Residence by At Mind,Pattaya,8.6,Excellent,"1,112",8.9,Deluxe Double or Twin Room with Pool View,   1 double or 2 twins,"   195,304"
Riva Surya Bangkok - SHA Extra Plus,"Khaosan, Bangkok",8.9,Excellent,721,9.4,Deluxe Double or Twin Room with River View and Balcony,   1 double or 2 twins,"   440,373"
The MACEO Hotel,Nong Khai,8.4,Very Good,52,8.8,Standard Double Room,1 queen bed,"   187,615"
Eastin Grand Hotel Sathorn,"Sathorn, Bangkok",9.2,Wonderful,"3,367",9.6,Superior Sky Double or Twin Room,Multiple bed types,"   323,793"
Pruksa Garden Hotel,Phu Wiang,8.4,Very Good,63,8.5,VIP Double Room,1 full bed,"   51,756"
Thongtakian Resort,"Thong Takian, Lamai",9,Wonderful,308,9,Superior Double Room,1 full bed,"   112,459"
The Original Orange Hotel,Nakhon Si Thammarat,8.4,Very Good,160,8.6,Deluxe Double or Twin Room,   1 double or 2 twins,"   55,052"
Khaolak Merlin Resort - SHA Extra Plus,"Khao Lak Beach, Khao Lak",8.9,Excellent,355,9.3,Deluxe Double or Twin Room,1 king bed,"   287,170"
The Hotspring Beach Resort & Spa - SHA Extra Plus,Natai Beach,7.9,Good,97,8.1,Deluxe Twin Room,2 twin beds,"   181,146"
BCP Hotel,Ban Chang,7.4,Good,53,8.1,Superior Double Room,1 full bed,"   58,161"
Pakasai Resort - SHA Extra plus,Ao Nang Beach,8.3,Very Good,772,8.4,Deluxe Double or Twin Room,   1 double or 2 twins,"   177,911"
Baan Haad Ngam Boutique Resort - SHA Extra Plus,"Chaweng Beachfront, Chaweng",8.2,Very Good,508,8.4,Superior Garden Room with One-way Airport Transfer,"3 beds (2 twins, 1 queen)","   307,024"
Phumektawan ?????????? Hotel&Restaurant,Mae Salong,8.4,Very Good,102,8.6,King Suite,1 king bed,"   116,451"
Amari Hua Hin,"Khao Takiab, Hua Hin",8.5,Very Good,696,9,Club One Bedroom Suite Pool View,1 king bed,"   671,234"
"Sheraton Grande Sukhumvit, a Luxury Collection Hotel, Bangkok","Khlong Toei, Bangkok",9.2,Wonderful,"1,270",9.6,Luxury King Room,1 king bed,"   650,702"
?????? ????? Pillow Inn Hotel,Ban Khao Hin Son,8.7,Excellent,3,8.3,Standard Double Room,1 king bed,"   48,521"
Nakakiri Resort & Spa,Hin Dat,6.7,Review score,90,,Floating Room,   1 double or 2 twins,"   67,076"
Zing Resort & Spa,"Dongtan Beach, Pattaya South",8.2,Very Good,636,8.6,Pool Suite,1 queen bed,"   155,703"
Anantara Hua Hin Resort - SHA Certified,Hua Hin,8.8,Excellent,493,9.2,Junior Lagoon View Suite,1 king bed,"   475,610"
Avarin Resort,Pak Chong,8.7,Excellent,225,9,Standard King Room,1 king bed,"   79,516"
Bluerama - Adults Only,Haad Pleayleam,7.3,Good,291,,Double Room with Balcony and Sea View,1 queen bed,"   301,140"
ibis Styles Chiang Mai,"Chang Phueak, Chiang Mai",8.2,Very Good,374,8.4,Standard Double Room,1 queen bed,"   58,817"
Kokotel Pattaya South Beach,Pattaya,7.9,Good,"1,082",8.3,Superior Twin Room,2 twin beds,"   71,688"
"VIE Hotel Bangkok, MGallery","Pratunam, Bangkok",8.7,Excellent,664,9.1,Deluxe Twin Room,2 twin beds,"   274,492"
Khaosok Bamboo Huts Resort,Khao Sok National Park,8.5,Very Good,347,8.5,Standard Double Room with Fan,1 full bed,"   58,225"
Radisson Suites Bangkok Sukhumvit - SHA Extra Plus,"Wattana, Bangkok",7.9,Good,786,8.4,Deluxe Room,1 king bed,"   189,930"
Chanathinat Place,Udon Thani,7.5,Good,344,,Double Room with Balcony,1 full bed,"   29,113"
iSanook Resort & Suites Hua Hin - SHA Plus Certified,"Khao Takiab, Hua Hin",8.7,Excellent,637,9.3,Suite Pool View,Multiple bed types,"   239,279"
Phuket Orchid Resort and Spa - SHA Extra Plus,Karon Beach,7.8,Good,515,,Deluxe Room,   1 double or 2 twins,"   261,287"
Cross Vibe Bangkok Sukhumvit - formerly X2 Vibe Bangkok Sukhumvit - SHA Plus,"Khlong Toei, Bangkok",8.2,Very Good,450,8.7,One-Bedroom Suite,1 full bed,"   173,663"
Parichat Ban Dung Hotel,Ban Dung,7.8,Good,21,,Double Room,1 king bed,"   48,521"
Solitaire Bangkok Sukhumvit 11,"Wattana, Bangkok",8,Very Good,"1,899",8.3,Grand Deluxe Double,1 queen bed,"   260,290"
Ramada Resort by Wyndham Khao Lak - SHA Plus Extra,"Bang Niang Beach, Khao Lak",9,Wonderful,257,9.3,Ocean Front Villa,1 king bed,"   634,589"
????????????????? ???????????,Ban Muang Baeng,8.5,Very Good,8,8.8,Economy Quadruple Room with Shared Bathroom,"2 beds (1 bunk bed, 1 queen)","   88,170"
Destination Resorts Phuket Surin Beach - SHA Extra Plus,Surin Beach,6.7,Review score,397,,Superior King Room,1 king bed,"   149,057"
The One Residence,Udon Thani,8,Very Good,189,8.2,Superior King Room,1 queen bed,"   34,935"
Avani+ Hua Hin Resort,Cha Am,8.5,Very Good,153,8.7,AVANI Pool Villa with Club Lounge Access,1 king bed,"   803,612"
Baanfai Guesthouse Chiangkhong,Chiang Khong,8,Very Good,127,8.2,Standard Double Room with Air Conditioning,1 full bed,"   32,347"
Le Vernissage @ Goad Avadhess Hospitality,Pattaya,7.2,Good,6,,Budget Double or Twin Room,2 twin beds,"   57,740"
Aukotan Place,"Chalok Baan Kao, Ko Tao",8.6,Excellent,311,8.9,Superior Double Room,1 full bed,"   66,543"
Avani Ao Nang Cliff Krabi Resort - SHA Extra Plus,Ao Nang Beach,8.3,Very Good,365,8.7,AVANI Room,   1 double or 2 twins,"   174,864"
Selina Serenity Rawai Phuket,Rawai Beach,8,Very Good,182,8.6,Cabana,1 full bed,"   168,945"
Sareeraya Villas & Suites - SHA Extra Plus,"Chaweng Beachfront, Chaweng",8.6,Excellent,185,9.1,Luxury Suite,1 king bed,"   417,704"
100 Islands Resort & Spa,Suratthani,7.9,Good,136,8.2,Superior Double or Twin Room,Multiple bed types,"   58,225"
Furama Chiang Mai,"Chang Phueak, Chiang Mai",7.6,Good,375,,Superior Double or Twin Room,Multiple bed types,"   88,971"
Melia Chiang Mai,"Chang Moi, Chiang Mai",9,Wonderful,336,9.4,Meliá Room,   1 double or 2 twins,"   204,194"
Pinnacle Samui Resort SHA Plus,Mae Nam,8.1,Very Good,341,8.3,Hotel Room,1 queen bed,"   120,132"
Veranda Resort & Villas Hua Hin Cha Am,Cha Am,8.3,Very Good,195,8.7,Pool King Suite with Private Pool,1 king bed,"   393,725"
Pullman Bangkok King Power,"Pratunam, Bangkok",8.8,Excellent,997,9.2,Executive Double Room with Executive Lounge Access,1 king bed,"   453,858"
Stay Inn Nathon Samui,Nathon,8.1,Very Good,248,8.5,Deluxe Double Room with Side Sea View,1 full bed,"   64,048"
Riverhouse Resort,Mae Sariang,7.9,Good,96,8,Double Room,1 queen bed,"   97,042"
Park Plaza Sukhumvit Bangkok,"Khlong Toei, Bangkok",8,Very Good,997,8.6,Superior Double or Twin Room,   1 double or 2 twins,"   170,217"
?????????????????? RuenRomMai Resort,Ban Klang Mun,9,Wonderful,6,8.3,One-Bedroom House,1 full bed,"   35,744"
Sinkiat Thani Hotel,Satun,7.2,Good,56,,Standard Double or Twin Room,   1 double or 2 twins,"   51,109"
Little Paradise Haad Rin Koh Phangan,"Haad Rin Nok, Haad Rin",8.3,Very Good,321,8.4,Twin Room with Balcony,2 twin beds,"   166,259"
Livotel Hotel Lat Phrao Bangkok,Bangkok,7.1,Good,575,,Superior Double Room,1 king bed,"   42,039"
Nice Beach Resort Koh Pha-ngan,Thong Nai Pan Yai,8.6,Excellent,238,8.5,Family Room (4 Adults),2 queen beds,"   110,628"
Chedi Home -SHA Extra Plus,"Si Phum, Chiang Mai",8.7,Excellent,479,8.9,Standard Double Room,1 king bed,"   67,030"
Home Phang-Nga Guesthouse,Phangnga,9.1,Wonderful,182,9.2,Standard Double Room,1 king bed,"   58,225"
Suankaew Art Cottage,Ban Tha Sai,8,Very Good,40,,Studio with Balcony,1 king bed,"   87,400"
Melati Beach Resort & Spa - SHA Extra Plus Certified,Choeng Mon Beach,8.3,Very Good,252,8.9,Grand Deluxe Double or Twin Room,Multiple bed types,"   418,977"
B Space Residence,Nong Prue,8.1,Very Good,91,8.3,Standard Double Room,1 queen bed,"   43,611"
????????? ????? ??????? Sohground Boutique Resort,Prakhon Chai,7.2,Good,18,,Standard King Room,1 king bed,"   32,347"
La Ong Lay,"Aow Yai Beach, Ko Phayam",7.9,Good,66,,Wooden Bungalow with Fan Partial Seaview,1 king bed,"   161,737"
Terre Terrace Glamping - Doichang,Ban Huai Khai,8,Very Good,24,8,Bungalow,1 twin bed,"   42,052"
Chura Samui - SHA Plus,"Chaweng Beachfront, Chaweng",8.2,Very Good,569,8.7,Grand Deluxe Double or Twin Room,Multiple bed types,"   163,572"
2 Feel Bed Station,Udon Thani,8.4,Very Good,323,8.7,Modern Double Room,1 queen bed,"   51,109"
Travelodge Nimman,Chiang Mai,9.3,Wonderful,35,9.5,Superior,Multiple bed types,"   92,844"
Tea Tree Boutique Resort,Rawai Beach,8.9,Excellent,90,9.1,Deluxe Double Room with Balcony,1 king bed,"   97,042"
At Samui Haus,Lipa Noi,8.2,Very Good,161,8.4,Superior Garden Room,1 queen bed,"   118,269"
Baan Duangkaew Resort SHA Extra Plus,"Khao Takiab, Hua Hin",8.7,Excellent,139,9.2,Deluxe Room,1 king bed,"   199,852"
BelAire Bangkok Sukhumvit - SHA Extra Plus,"Wattana, Bangkok",7.9,Good,986,8.1,Special Offer – Deluxe Double or Twin,Multiple bed types,"   150,234"
BB Mantra Boutique Hotel,"Si Phum, Chiang Mai",8.6,Excellent,365,8.8,Superior room with Street View (No balcony),Multiple bed types,"   90,832"
The Moon Night Hotel,"Khaosan, Bangkok",7.9,Good,138,8,Family Room,2 twin beds,"   110,075"
Areeya Resort,Watthana Nakhon,8.9,Excellent,35,9.2,Superior Bungalow,1 full bed,"   40,758"
Baanfah Resort Samui,Mae Nam,8.5,Very Good,290,8.9,Superior Double or Twin Room with Garden View,   1 double or 2 twins,"   124,538"
"The Briza Beach Resort, Samui - SHA Plus","Chaweng Beachfront, Chaweng",7.2,Good,624,,Deluxe Double Room with Balcony,1 king bed,"   177,920"
The Moonlight Resort,Ban Chang,8.3,Very Good,44,8.8,Economy Double Room,1 full bed,"   37,847"
Maraya Hotel & Resort -SHA Plus,"Chiang Mai Riverside, Chiang Mai",8.5,Very Good,41,8.9,Pool Deluxe,   1 double or 2 twins,"   140,213"
Tungtong Beach Villas,Ban Khao Khwang (2),8.5,Very Good,52,9.3,Deluxe Queen Room with Two Queen Beds - Garden View,2 queen beds,"   322,551"
Anmol Hotel Thai Smile Group,Pattaya,8.1,Very Good,59,8.2,Deluxe Double or Twin Room with Balcony,   1 double or 2 twins,"   37,032"
The Neuf@Ratchada,"Ratchadaphisek, Ban Na Song",8.8,Excellent,332,9.2,King Room,1 king bed,"   74,677"
The Contrast i Hotel,Pluak Daeng,7.6,Good,31,,Standard Twin Room,2 twin beds,"   145,564"
Pongsakorn Boutique Resort -SHA Extra Plus,Lat Krabang,7.6,Good,745,,Superior King Room,1 king bed,"   57,514"
Pullman Khao Lak Resort,Khao Lak,8.2,Very Good,113,8.9,Deluxe King or Twin Room with Pool View,Multiple bed types,"   118,127"
The Mangrove by Blu Monkey Phuket - SHA Extra Plus,Panwa Beach,8.3,Very Good,414,8.9,"Studio Villa with Garden View Free Kayak, Paddle Board and Playground",   1 double or 2 twins,"   216,728"
Mee Place,Amphoe Kumphawapi,8.3,Very Good,21,8.3,Standard Double Room,1 king bed,"   38,170"
Coral View Resort,Ko Tao,8.5,Very Good,270,8.7,Hillside Cabin with Air Conditioning,1 full bed,"   129,698"
POR Santitham,"Si Phum, Chiang Mai",8.4,Very Good,499,8.6,Double Room,1 king bed,"   87,985"
Beyond Resort Khaolak - SHA Plus,"Bangsak Beach, Khao Lak",8.4,Very Good,87,8.6,Villa Garden,1 king bed,"   302,579"
Had Lamae Resort,Ban Pak Nam Lamae (1),6.8,Review score,46,,Standard Double or Twin Room,1 twin bed,"   58,225"
Banbua Grand Udon,Udon Thani,8.8,Excellent,329,9.2,Superior Queen Room,1 full bed,"   85,043"
??????????????,Ban Nong Ko,,,,,Deluxe King Room,1 king bed,"   45,933"
Paradox Resort Phuket - SHA Plus,Karon Beach,8.2,Very Good,325,8.8,Superior Twin Room,2 twin beds,"   252,501"
??????? ???? ????? ???????,Tha Kradan,7.6,Good,14,8.2,Queen Suite with Spa Bath,1 queen bed,"   340,111"
Citrus Sukhumvit 13 Nana Bangkok by Compass Hospitality,"Wattana, Bangkok",7.3,Good,927,,Superior Room,Multiple bed types,"   92,680"
Home of River Kwai,Kanchanaburi City,9.5,Exceptional,569,9.6,Standard Twin Room with Shared Bathroom,4 twin beds,"   27,754"
Baan Nilrath Hotel - SHA Extra Plus,Hua Hin,8.6,Excellent,263,8.9,Superior Double Room,1 queen bed,"   103,467"
Kokotel Krabi Oasis,Ao Nang Beach,8.4,Very Good,590,9,Deluxe Twin Room,2 twin beds,"   57,116"
Nap In Fest,"Fa Ham, Chiang Mai",8.6,Excellent,165,8.9,Deluxe Double Room,1 full bed,"   71,763"
Baan Laimai Beach Resort & Spa - SHA Extra Plus,Patong Beach,8.1,Very Good,"2,351",8.5,Superior Double or Twin Room - No View,   1 double or 2 twins,"   362,939"
ibis Chiang Mai Nimman Journeyhub,"Chang Phueak, Chiang Mai",8.8,Excellent,36,9.3,Standard Double Room,1 full bed,"   65,148"
Riverside Palm Resort - Surat Thani,Ban Bang Pho,8.6,Excellent,26,8.8,Bungalow,1 king bed,"   34,935"
Promma Farm Resort,Ban Tat Ton (1),8.2,Very Good,13,8.5,Queen Room with Garden View,1 king bed,"   42,052"
Barali Beach Resort & Spa,"Klong Prao Beach, Ko Chang",8.1,Very Good,338,8.4,Premier Deluxe Villa,"2 beds (1 sofa bed, 1 queen)","   216,428"
Bangkok Marriott Hotel Sukhumvit,"Wattana, Bangkok",8.6,Excellent,"1,293",9.1,Deluxe Room with King Bed,1 king bed,"   400,673"
Villa The Wave,Amphoe Koksamui,8.8,Excellent,5,8.5,Three-Bedroom Villa,"4 beds (2 twins, 2 queens)","   673,661"
"Koh Jum Beach Villas ""A member of Secret Retreats""",Ko Jum,9.6,Exceptional,26,9.9,Deluxe Villa,3 king beds,"   1,348,872"
SR Residence Hotel,Phetchabun,8.3,Very Good,173,8.6,Standard Double or Twin Room,1 queen bed,"   77,634"
"Paradise Beach Resort, Koh Samui - SHA Extra Plus",Mae Nam,8.3,Very Good,227,8.7,Grand Deluxe Double Room,1 king bed,"   262,015"
Pavilion Samui Villas and Resort - SHA Extra Plus,Lamai,8.5,Very Good,281,8.7,Deluxe Double Room with Balcony,Multiple bed types,"   294,824"
Riverside House Hotel SHA Extra Plus,"Chang Moi, Chiang Mai",8.6,Excellent,183,8.7,Deluxe Plus with Balcony,   1 double or 2 twins,"   81,516"
YYK Homestay,Ban Khlong Krang,6.8,Review score,26,,Four-Bedroom House,"5 beds (2 twins, 2 fulls, 1 sofa bed)","   148,475"
Aster Hotel and Residence by At Mind,Pattaya,8.8,Excellent,480,9.1,New Deluxe Room,1 queen bed,"   149,501"
Life Hotel Rong Khun,Ban Mai,8.4,Very Good,27,8.4,Queen Room,1 queen bed,"   49,104"
The Areaac,Ban Chomphu,8.2,Very Good,17,8.1,Standard Double Room,1 full bed,"   42,052"
Phuphet Hill Resort,Phu Ruea,7.6,Good,54,,Double or Twin Room with View,"2 beds (1 twin, 1 queen)","   45,286"
OYO 75397 Is Am Are Stay Boutique,Ratchaburi,8.9,Excellent,88,9.1,Deluxe King Room,1 king bed,"   51,490"
Mut Mee Garden Guest House,Nong Khai,8.3,Very Good,384,8.3,Double or Twin Room with Shared Bathroom,   1 double or 2 twins,"   25,231"
Mercure Chiang Mai,"Si Phum, Chiang Mai",7.9,Good,162,8.4,Standard King Room,1 king bed,"   72,366"
Lotus Pang Suan Kaew Hotel,Chiang Mai,7.3,Good,394,,Superior Twin Room,2 twin beds,"   72,588"
Ailay,"Aow Yai Beach, Ko Phayam",8.7,Excellent,52,8.7,Deluxe Double Room with Partial Sea View,1 king bed,"   226,432"
Bor Saen Pool Villa,Bor Saen,8.5,Very Good,221,8.5,One-Bedroom Villa with Private Pool,1 queen bed,"   280,453"
Apsara Beachfront Resort & Villa - SHA Extra Plus,"Laem Pakarang Beach, Khao Lak",8.7,Excellent,380,9,Superior Double or Twin Room,   1 double or 2 twins,"   260,259"
The Elysium Pra?umnak Pattaya - By SHG,Pattaya South,9.1,Wonderful,44,9.5,Executive Suite,1 king bed,"   226,456"
Le Resort and Villas,Rawai Beach,8.9,Excellent,478,9.3,Deluxe Twin Room,2 twin beds,"   132,463"
Chi Art Series Hotel Bangkok,"Khlong Toei, Bangkok",9.2,Wonderful,345,9.7,Superior Double or Twin Room with City View,   1 double or 2 twins,"   207,496"
Khao Sok Tree House Resort,Khao Sok National Park,8.5,Very Good,169,8.3,Standard Bungalow,1 full bed,"   116,451"
Cinnamon Beach Villas,"Thong Takian, Lamai",8,Very Good,300,8.4,Bungalow with Sea View,1 full bed,"   103,512"
DOO KHAO,Ban Chong Tako,7.5,Good,2,8.8,Standard Queen Room,1 twin bed,"   41,219"
Montien House - SHA Plus,"Chaweng City Center , Chaweng",8,Very Good,674,8.3,Superior Room with Garden View,Multiple bed types,"   148,932"
Chala Number6,"Si Phum, Chiang Mai",8.9,Excellent,301,9.5,Deluxe Twin Room,2 twin beds,"   426,990"
Hyatt Place Bangkok Sukhumvit - SHA Extra Plus Certified,"Khlong Toei, Bangkok",8.4,Very Good,345,9,Standard King no Sofa Bed,1 king bed,"   228,309"
The Lamai Samui - formerly Le Méridien Koh Samui Resort & Spa - SHA Extra Plus,"Thong Takian, Lamai",8.9,Excellent,521,9.4,Deluxe Suite - The Veranda,1 full bed,"   501,959"
Touch the Wind,Chaiyaphum,9.3,Wonderful,35,9.2,Deluxe Double Room with Balcony,1 queen bed,"   56,192"
Moose Hotel Chiangmai,"Wat Ket, Chiang Mai",8.8,Excellent,210,9.2,Deluxe Double Room,1 king bed,"   139,741"
G Residence,Pattaya South,8.7,Excellent,439,8.8,Studio with Balcony,1 king bed,"   72,274"
?????????????????,Sichon,9.1,Wonderful,91,9.2,Standard Double Room,1 king bed,"   72,200"
Hyde Park Chiangmai,Chiang Mai,8.8,Excellent,519,9.2,Deluxe Park View,   1 double or 2 twins,"   108,445"
Sandalwood Luxury Villa Resort - SHA Extra Plus,Lamai,8.9,Excellent,246,9.2,One-Bedroom Suite with Spa Bath,1 king bed,"   241,497"
Thai House Beach Resort,Lamai,8,Very Good,118,8.1,Standard Classic Double or Twin Room,   1 double or 2 twins,"   213,309"
Koh Jum Delight Beach,Ko Jum,8.5,Very Good,100,8.6,Standard Double Room with Fan,1 full bed,"   116,451"
Theatre Residence,"Riverside, Bangkok",8.7,Excellent,793,9.2,Deluxe Room,Multiple bed types,"   197,507"
Marvin Suites Hotel,"Sathorn, Bangkok",8.3,Very Good,362,8.6,Deluxe Studio,1 full bed,"   57,917"
Chada Mantra Hotel,"Si Phum, Chiang Mai",8.9,Excellent,788,9.1,Superior Double or Twin Room,1 king bed,"   98,198"
The Chill House,Ban Wang Khanai,7.7,Good,29,8.4,Deluxe Room (2 Adults + 1 Child),1 king bed,"   39,593"
Siamgrand Hotel,Udon Thani,8.2,Very Good,179,8.7,Superior King Room,1 king bed,"   71,164"
Centara Grand at Central Plaza Ladprao Bangkok,"Chatuchak, Bangkok",8.6,Excellent,562,8.9,Deluxe Twin Room,2 twin beds,"   222,398"
De Lit,Ubon Ratchathani,8.4,Very Good,197,8.2,Standard King Room,1 king bed,"   80,337"
Mariya Boutique Hotel At Suvarnabhumi Airport,Lat Krabang,8,Very Good,"1,051",8.2,Superior Queen Room-Room only-No Airport Transfer,1 queen bed,"   75,111"
Gold Airport Suites,Lat Krabang,7.1,Good,"1,376",,Standard Double Room,1 queen bed,"   61,342"
River Tree Resort,Amphoe Chiang Khan,8.6,Excellent,25,8.6,Junior Suite with Balcony,1 king bed,"   248,780"
Maesalong Villa,Mae Salong,7.5,Good,63,,Standard Double Room with Fan,1 full bed,"   51,756"
The Chic Lipe,Ko Lipe,8.8,Excellent,175,8.9,Double Bed in Mixed Dormitory Room,1 full bed,"   80,869"
Marrakesh Hua Hin Resort & Spa,Hua Hin,8.4,Very Good,308,8.7,Fountain Pool Suite,1 queen bed,"   376,847"
Top North Hotel,"Si Phum, Chiang Mai",7.2,Good,213,,Standard Double or Twin Room,   1 double or 2 twins,"   53,373"
